,Task File,Article Number,Question Label,Answer Label
73,Language,1712,T1.Q13,T1.Q13.A2
74,Language,1712,T1.Q14,T1.Q14.A5
75,Language,1712,T1.Q15,T1.Q15.A7
76,Language,1712,T1.Q2,T1.Q2.A3
77,Language,1712,T1.Q3,T1.Q3.A3
78,Language,1712,T1.Q5,T1.Q5.A4
79,Language,1712,T1.Q7,T1.Q7.A1
80,Language,1712,T1.Q9,T1.Q9.A4
81,Language,1712,T1.Q1.A11,0
82,Language,1712,T1.Q1.A6,1
83,Language,1712,T1.Q1.A8,0
84,Language,1712,T1.Q1.A9,0
85,Language,1712,T1.Q1.A1,0
86,Language,1712,T1.Q1.A13,0
87,Language,1712,T1.Q1.A2,1
88,Language,1712,T1.Q1.A10,0
89,Language,1712,T1.Q1.A4,0
90,Language,1712,T1.Q1.A3,0
91,Language,1712,T1.Q1.A12,0
92,Language,1712,T1.Q1.A5,0
93,Language,1712,T1.Q6.A8,0
94,Language,1712,T1.Q6.A7,0
95,Language,1712,T1.Q6.A3,0
96,Language,1712,T1.Q6.A6,0
97,Language,1712,T1.Q6.A5,0
98,Language,1712,T1.Q6.A2,0
99,Language,1712,T1.Q6.A1,0
100,Language,1712,T1.Q6.A4,0
101,Language,100001,T1.Q10,T1.Q10.A3
102,Language,100001,T1.Q11,T1.Q11.A4
103,Language,100001,T1.Q12,T1.Q12.A1
104,Language,100001,T1.Q13,T1.Q13.A3
105,Language,100001,T1.Q14,T1.Q14.A3
106,Language,100001,T1.Q15,T1.Q15.A8
107,Language,100001,T1.Q2,T1.Q2.A3
108,Language,100001,T1.Q3,T1.Q3.A3
109,Language,100001,T1.Q5,T1.Q5.A3
110,Language,100001,T1.Q9,T1.Q9.A4
111,Language,100001,T1.Q1.A11,0
112,Language,100001,T1.Q1.A6,0
113,Language,100001,T1.Q1.A9,0
114,Language,100001,T1.Q1.A1,0
115,Language,100001,T1.Q1.A13,0
116,Language,100001,T1.Q1.A2,0
117,Language,100001,T1.Q1.A7,0
118,Language,100001,T1.Q1.A10,0
119,Language,100001,T1.Q1.A4,0
120,Language,100001,T1.Q1.A3,0
121,Language,100001,T1.Q1.A8,0
122,Language,100001,T1.Q1.A12,0
123,Language,100001,T1.Q1.A5,0
124,Language,100001,T1.Q6.A3,0
125,Language,100001,T1.Q6.A5,0
126,Language,100001,T1.Q6.A2,0
127,Language,100001,T1.Q6.A1,0
128,Language,100001,T1.Q6.A4,0
129,Language,100002,T1.Q10,T1.Q10.A4
130,Language,100002,T1.Q11,T1.Q11.A3
131,Language,100002,T1.Q12,T1.Q12.A1
132,Language,100002,T1.Q13,T1.Q13.A3
133,Language,100002,T1.Q14,T1.Q14.A3
134,Language,100002,T1.Q15,T1.Q15.A8
135,Language,100002,T1.Q2,T1.Q2.A2
136,Language,100002,T1.Q3,T1.Q3.A3
137,Language,100002,T1.Q5,T1.Q5.A1
138,Language,100002,T1.Q7,T1.Q7.A1
139,Language,100002,T1.Q9,T1.Q9.A4
140,Language,100002,T1.Q1.A11,0
141,Language,100002,T1.Q1.A6,0
142,Language,100002,T1.Q1.A9,0
143,Language,100002,T1.Q1.A5,0
144,Language,100002,T1.Q1.A1,0
145,Language,100002,T1.Q1.A7,0
146,Language,100002,T1.Q1.A2,1
147,Language,100002,T1.Q1.A13,0
148,Language,100002,T1.Q1.A10,0
149,Language,100002,T1.Q1.A4,0
150,Language,100002,T1.Q1.A3,0
151,Language,100002,T1.Q1.A12,0
152,Language,100002,T1.Q1.A8,0
153,Language,100002,T1.Q6.A8,0
154,Language,100002,T1.Q6.A7,0
155,Language,100002,T1.Q6.A3,0
156,Language,100002,T1.Q6.A5,0
157,Language,100002,T1.Q6.A2,0
158,Language,100002,T1.Q6.A1,0
159,Language,100002,T1.Q6.A4,0
160,Language,100003,T1.Q10,T1.Q10.A4
161,Language,100003,T1.Q11,T1.Q11.A4
162,Language,100003,T1.Q12,T1.Q12.A1
163,Language,100003,T1.Q13,T1.Q13.A4
164,Language,100003,T1.Q14,T1.Q14.A5
165,Language,100003,T1.Q15,T1.Q15.A8
166,Language,100003,T1.Q2,T1.Q2.A5
167,Language,100003,T1.Q3,T1.Q3.A3
168,Language,100003,T1.Q5,T1.Q5.A2
169,Language,100003,T1.Q7,T1.Q7.A1
170,Language,100003,T1.Q9,T1.Q9.A3
171,Language,100003,T1.Q1.A11,0
172,Language,100003,T1.Q1.A6,0
173,Language,100003,T1.Q1.A8,0
174,Language,100003,T1.Q1.A9,0
175,Language,100003,T1.Q1.A1,0
176,Language,100003,T1.Q1.A13,0
177,Language,100003,T1.Q1.A2,0
178,Language,100003,T1.Q1.A7,0
179,Language,100003,T1.Q1.A10,0
180,Language,100003,T1.Q1.A4,0
181,Language,100003,T1.Q1.A3,0
182,Language,100003,T1.Q1.A12,0
183,Language,100003,T1.Q1.A5,0
184,Language,100003,T1.Q6.A8,0
185,Language,100003,T1.Q6.A3,0
186,Language,100003,T1.Q6.A6,0
187,Language,100003,T1.Q6.A5,0
188,Language,100003,T1.Q6.A2,0
189,Language,100003,T1.Q6.A1,0
190,Language,100003,T1.Q6.A4,0
191,Language,100004,T1.Q10,T1.Q10.A4
192,Language,100004,T1.Q11,T1.Q11.A4
193,Language,100004,T1.Q12,T1.Q12.A2
194,Language,100004,T1.Q13,T1.Q13.A4
195,Language,100004,T1.Q14,T1.Q14.A3
196,Language,100004,T1.Q15,T1.Q15.A8
197,Language,100004,T1.Q2,T1.Q2.A4
198,Language,100004,T1.Q3,T1.Q3.A2
199,Language,100004,T1.Q5,T1.Q5.A2
200,Language,100004,T1.Q7,T1.Q7.A1
201,Language,100004,T1.Q9,T1.Q9.A5
202,Language,100004,T1.Q1.A11,0
203,Language,100004,T1.Q1.A6,0
204,Language,100004,T1.Q1.A1,0
205,Language,100004,T1.Q1.A7,0
206,Language,100004,T1.Q1.A2,0
207,Language,100004,T1.Q1.A10,0
208,Language,100004,T1.Q1.A4,0
209,Language,100004,T1.Q1.A13,0
210,Language,100004,T1.Q1.A8,0
211,Language,100004,T1.Q1.A12,0
212,Language,100004,T1.Q6.A8,0
213,Language,100004,T1.Q6.A7,0
214,Language,100004,T1.Q6.A3,0
215,Language,100004,T1.Q6.A6,0
216,Language,100004,T1.Q6.A1,0
217,Language,100004,T1.Q6.A4,0
218,Probability,1712,T1.Q1,T1.Q1.A1
219,Probability,1712,T1.Q10,T1.Q10.A3
220,Probability,1712,T1.Q11,T1.Q11.A2
221,Probability,1712,T1.Q13,T1.Q13.A5
222,Probability,1712,T1.Q14,T1.Q14.A7
223,Probability,1712,T1.Q2,T1.Q2.A3
224,Probability,1712,T1.Q5,T1.Q5.A1
225,Probability,1712,T1.Q6,T1.Q6.A1
226,Probability,1712,T1.Q7,T1.Q7.A2
227,Probability,1712,T1.Q12.A2,0
228,Probability,1712,T1.Q12.A3,0
229,Probability,1712,T1.Q12.A4,0
230,Probability,1712,T1.Q12.A5,0
231,Probability,100000,T1.Q1,T1.Q1.A1
232,Probability,100000,T1.Q10,T1.Q10.A3
233,Probability,100000,T1.Q11,T1.Q11.A4
234,Probability,100000,T1.Q13,T1.Q13.A5
235,Probability,100000,T1.Q14,T1.Q14.A7
236,Probability,100000,T1.Q2,T1.Q2.A2
237,Probability,100000,T1.Q5,T1.Q5.A3
238,Probability,100000,T1.Q6,T1.Q6.A3
239,Probability,100000,T1.Q7,T1.Q7.A2
240,Probability,100000,T1.Q12.A2,0
241,Probability,100001,T1.Q1,T1.Q1.A3
242,Probability,100001,T1.Q10,T1.Q10.A3
243,Probability,100001,T1.Q11,T1.Q11.A4
244,Probability,100001,T1.Q13,T1.Q13.A4
245,Probability,100001,T1.Q14,T1.Q14.A7
246,Probability,100001,T1.Q2,T1.Q2.A5
247,Probability,100001,T1.Q5,T1.Q5.A3
248,Probability,100001,T1.Q6,T1.Q6.A1
249,Probability,100001,T1.Q7,T1.Q7.A2
250,Probability,100002,T1.Q1,T1.Q1.A1
251,Probability,100002,T1.Q11,T1.Q11.A3
252,Probability,100002,T1.Q13,T1.Q13.A5
253,Probability,100002,T1.Q14,T1.Q14.A7
254,Probability,100002,T1.Q2,T1.Q2.A4
255,Probability,100002,T1.Q5,T1.Q5.A2
256,Probability,100002,T1.Q6,T1.Q6.A1
257,Probability,100002,T1.Q12.A3,0
258,Probability,100002,T1.Q12.A5,0
259,Probability,100003,T1.Q1,T1.Q1.A1
260,Probability,100003,T1.Q11,T1.Q11.A3
261,Probability,100003,T1.Q13,T1.Q13.A3
262,Probability,100003,T1.Q14,T1.Q14.A7
263,Probability,100003,T1.Q2,T1.Q2.A4
264,Probability,100003,T1.Q5,T1.Q5.A3
265,Probability,100003,T1.Q6,T1.Q6.A1
266,Probability,100003,T1.Q12.A4,0
267,Probability,100004,T1.Q1,T1.Q1.A3
268,Probability,100004,T1.Q11,T1.Q11.A4
269,Probability,100004,T1.Q13,T1.Q13.A5
270,Probability,100004,T1.Q14,T1.Q14.A7
271,Probability,100004,T1.Q2,T1.Q2.A4
272,Probability,100004,T1.Q5,T1.Q5.A2
273,Probability,100004,T1.Q6,T1.Q6.A1
274,Probability,100004,T1.Q12.A4,0
275,Probability,100004,T1.Q12.A5,0
276,Probability,100026,T1.Q1,T1.Q1.A1
277,Probability,100026,T1.Q11,T1.Q11.A2
278,Probability,100026,T1.Q13,T1.Q13.A5
279,Probability,100026,T1.Q14,T1.Q14.A6
280,Probability,100026,T1.Q2,T1.Q2.A3
281,Probability,100026,T1.Q5,T1.Q5.A1
282,Probability,100026,T1.Q6,T1.Q6.A1
283,Probability,100026,T1.Q12.A2,1
284,Reasoning,1712,T1.Q10,T1.Q10.A8
285,Reasoning,1712,T1.Q9,T1.Q9.A5
286,Reasoning,1712,T1.Q1.A2,1
287,Reasoning,1712,T1.Q3.A7,1
